city,total,less_than_10000,10000_to_14999,15000_to_19999,20000_to_24999,25000_to_29999,30000_to_34999,35000_to_39999,40000_to_49999,50000_to_59999,60000_to_69999,70000_to_79999,80000_to_89999,90000_to_99999,100000_to_124999,125000_to_149999,150000_to_174999,175000_to_199999,200000_to_249999,250000_to_299999,300000_to_399999,400000_to_499999,500000_to_749999,750000_to_999999,1000000_to_1499999,1500000_to_1999999,2000000_or_more
Colleyville,8826,89,0,0,0,0,0,0,0,14,9,32,0,15,21,18,0,0,27,86,267,916,3333,1728,1675,301,295
Crowley,4567,99,0,281,20,8,0,0,0,16,13,0,17,21,112,205,169,370,1148,790,1056,95,123,0,0,0,24
Dalworthington Gardens,667,0,0,0,0,0,0,0,0,17,0,0,5,0,0,0,6,39,41,36,96,94,136,151,26,8,12
Edgecliff Village,1079,14,0,3,0,4,0,0,0,0,0,0,3,0,65,34,68,122,189,193,321,58,5,0,0,0,0
Euless,9520,69,19,17,70,41,15,0,0,33,13,12,0,58,211,237,234,587,1677,1648,2402,1067,948,89,41,0,32
Everman,1214,0,0,0,0,0,0,0,10,8,24,0,44,51,71,123,381,71,328,58,19,9,17,0,0,0,0
Forest Hill,3003,24,0,11,0,29,0,0,16,36,0,53,65,91,279,396,588,296,671,246,138,57,7,0,0,0,0
Haltom City,8692,70,202,90,87,0,0,23,48,134,121,150,216,143,613,638,709,1406,1764,1076,938,213,29,0,7,0,15
Hurst,9236,37,43,39,48,44,0,9,39,56,4,11,205,58,149,165,418,667,1459,1553,2654,1066,479,8,15,0,10
Keller,13155,35,41,0,0,7,0,0,24,36,24,8,0,0,68,14,62,98,263,577,1755,2507,4586,1887,705,338,120
Kennedale,2271,22,34,26,0,0,0,0,0,7,0,8,0,37,71,67,43,30,156,356,495,418,392,67,42,0,0
Lakeside,506,6,3,0,0,19,2,0,0,3,6,0,2,0,20,17,16,15,78,44,109,72,84,6,4,0,0
Lake Worth,1275,0,12,0,9,0,0,0,0,0,0,9,13,53,32,46,217,183,297,275,74,55,0,0,0,0,0
Mansfield,17954,157,58,69,27,32,94,29,275,126,146,73,46,66,307,76,95,518,659,2002,5155,4167,3353,306,92,16,10
Newark,297,2,17,8,6,16,0,3,0,23,18,2,22,27,19,9,5,6,9,0,44,31,28,2,0,0,0
North Richland Hills,17527,124,11,14,105,27,50,0,19,83,15,133,42,64,382,290,589,670,2552,2488,4456,2399,2557,351,63,0,43
Pantego,666,6,0,0,0,0,0,6,0,6,0,0,0,5,0,37,0,6,56,119,254,89,82,0,0,0,0
Pecan Acres,1245,0,0,0,13,7,0,11,0,29,0,9,55,16,12,29,21,61,36,58,145,89,247,292,33,21,61
Pelican Bay,500,26,12,3,17,16,27,7,16,32,3,22,15,17,28,15,35,46,80,39,13,0,22,0,3,0,6
Rendon,4118,29,0,0,16,0,23,0,44,55,23,41,18,47,231,111,100,237,483,332,957,513,532,248,58,0,20
Reno,906,8,24,0,0,0,39,0,8,5,0,8,0,15,61,39,41,68,77,67,131,121,169,17,0,8,0
Richland Hills,1998,41,0,7,11,0,0,0,0,0,0,0,29,19,91,168,95,141,606,263,420,68,31,8,0,0,0
River Oaks,1776,0,0,0,0,10,0,0,21,9,0,0,12,15,102,394,58,245,388,237,212,64,0,0,9,0,0
Saginaw,6177,0,0,15,0,0,14,0,0,0,8,22,0,25,111,272,377,176,1414,1616,1738,269,67,53,0,0,0
Sansom Park,850,15,0,10,0,0,0,0,0,0,0,0,57,0,172,218,113,103,41,44,11,0,59,0,7,0,0
Watauga,6354,49,38,40,25,19,0,0,0,8,0,7,22,90,320,295,362,715,1777,1595,853,52,17,57,0,13,0
Westover Hills,310,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,25,0,0,13,56,37,168
Westworth Village,548,9,0,7,0,0,0,0,0,5,0,0,0,0,22,33,24,47,93,19,50,8,160,51,5,0,15
White Settlement,3994,21,21,7,47,0,40,7,31,117,29,39,126,143,226,326,790,464,800,331,387,13,11,0,18,0,0
